iter	Logloss
0	0.6874235663
1	0.6815306832
2	0.6765011006
3	0.6713129582
4	0.6658662111
5	0.661744068
6	0.6569496712
7	0.6524709954
8	0.648469321
9	0.6440147541
10	0.6402709454
11	0.6364748724
12	0.6336189247
13	0.6303415462
14	0.6271814144
15	0.6244047692
16	0.6212244669
17	0.6182999279
18	0.6156229006
19	0.6131354705
20	0.6113304291
21	0.6087819694
22	0.6066609053
23	0.6044849923
24	0.6022401512
25	0.6003550333
26	0.598394737
27	0.5965464225
28	0.5950867548
29	0.5931544888
30	0.5916550786
31	0.5900444754
32	0.589131407
33	0.587673106
34	0.5865823491
35	0.5853189483
36	0.5839861984
37	0.5827477503
38	0.5815315104
39	0.580583451
40	0.5791898056
41	0.5782557319
42	0.5773959441
43	0.5765050736
44	0.5756445251
45	0.574829372
46	0.57408029
47	0.573251441
48	0.5725928903
49	0.5718590096
50	0.5711174847
51	0.5704608934
52	0.5696352437
53	0.5689429758
54	0.5683600275
55	0.5675589552
56	0.5670067119
57	0.5663584848
58	0.5656811684
59	0.5651085597
60	0.5646318003
61	0.5640316071
62	0.5635445045
63	0.5631655725
64	0.5627011313
65	0.5623376579
66	0.5618203161
67	0.5614300572
68	0.5609563886
69	0.5605720754
70	0.560204608
71	0.5598845412
72	0.5597838769
73	0.5594499494
74	0.5590648156
75	0.5588811274
76	0.5584446504
77	0.5581895998
78	0.5577962392
79	0.5574068079
80	0.5570094781
81	0.5566002709
82	0.5562869465
83	0.5558541516
84	0.5556912683
85	0.555364012
86	0.5551993924
87	0.5548820482
88	0.5545003979
89	0.554330785
90	0.5541892628
91	0.5539101673
92	0.5536911533
93	0.5535312499
94	0.553395941
95	0.5530593745
96	0.5529372842
97	0.5528232421
98	0.5524888922
99	0.5521981782
100	0.5520170806
101	0.5518709588
102	0.551521002
103	0.5513984649
104	0.551205763
105	0.5509312051
106	0.5507013329
107	0.5505077705
108	0.5502407137
109	0.5500523457
110	0.5499537244
111	0.549789525
112	0.5496227026
113	0.5495663768
114	0.549381391
115	0.5491512432
116	0.5489359766
117	0.5487204168
118	0.5485313794
119	0.5483757298
120	0.5481832431
121	0.548060379
122	0.5480317491
123	0.5478369835
124	0.5476673943
125	0.5474830268
126	0.5473508516
127	0.5471904447
128	0.5471311659
129	0.5470105965
130	0.5469180058
131	0.5467781396
132	0.5465766438
133	0.5464612402
134	0.5462431442
135	0.5460805658
136	0.5459108984
137	0.5457104957
138	0.5455490364
139	0.5454208898
140	0.5452343535
141	0.5451186341
142	0.5449678769
143	0.5449190876
144	0.5448004361
145	0.5446404999
146	0.5444120428
147	0.5442620523
148	0.54415806
149	0.5440662595
150	0.5438689086
151	0.543717295
152	0.5435926191
153	0.543397324
154	0.5433431546
155	0.5432394887
156	0.5431848703
157	0.5430763407
158	0.5429870037
159	0.5428692109
160	0.5428005885
161	0.5427606346
162	0.5426711968
163	0.5426410067
164	0.5424974145
165	0.5424081081
166	0.542338908
167	0.542240713
168	0.5421727652
169	0.5420513725
170	0.5419410688
171	0.5417892763
172	0.541683306
173	0.5416042593
174	0.5414682961
175	0.5414149879
176	0.5413071765
177	0.5412498183
178	0.5411300197
179	0.5410551593
180	0.5409797433
181	0.5408987094
182	0.5408323899
183	0.540754169
184	0.5407447411
185	0.5405099853
186	0.5403676286
187	0.5402851792
188	0.5402442717
189	0.5401567927
190	0.5399966
191	0.5398685565
192	0.5397328302
193	0.5395983518
194	0.5395220132
195	0.5393724636
196	0.5392209488
197	0.5390946425
198	0.5389490887
199	0.5388671221
200	0.5386733258
201	0.5386100806
202	0.5385372843
203	0.5385235713
204	0.5384047043
205	0.5382051302
206	0.5381825397
207	0.5381825016
208	0.5380739483
209	0.5379812116
210	0.5379283494
211	0.5378830073
212	0.5377899715
213	0.5377291333
214	0.537634644
215	0.537545946
216	0.5373911239
217	0.5373310027
218	0.5372166505
219	0.5371493015
220	0.5370730255
221	0.5369996315
222	0.5369306742
223	0.5368224713
224	0.5367961109
225	0.5367220472
226	0.5366539087
227	0.5366400753
228	0.5365604396
229	0.5365542887
230	0.536505152
231	0.5364571699
232	0.5363282551
233	0.536192969
234	0.5361585717
235	0.5360879887
236	0.5359938825
237	0.5359109005
238	0.5357880445
239	0.5356709192
240	0.5355944406
241	0.5355106055
242	0.5354715209
243	0.5354240747
244	0.5353973806
245	0.5353611638
246	0.5353111636
247	0.5351991708
248	0.5350921295
249	0.5349989497
250	0.5349686472
251	0.5347813102
252	0.5345673727
253	0.5344716192
254	0.5343648127
255	0.5342285885
256	0.5342195691
257	0.5341226082
258	0.5340201814
259	0.5338851306
260	0.5337792415
261	0.5337113071
262	0.5335891832
263	0.5335339741
264	0.533518993
265	0.533407778
266	0.5333523385
267	0.5333174034
268	0.5332019885
269	0.5331431667
270	0.5330340919
271	0.5329073503
272	0.5326815484
273	0.5325828618
274	0.5325538424
275	0.5323868014
276	0.5323307937
277	0.5322368682
278	0.5321013571
279	0.5320453758
280	0.5319236179
281	0.5318220846
282	0.5317732487
283	0.531677797
284	0.5316218893
285	0.5315868135
286	0.5314851799
287	0.5313527978
288	0.5313246116
289	0.531246564
290	0.5311455256
291	0.5311368566
292	0.5310105567
293	0.5309642052
294	0.5308501203
295	0.5308140424
296	0.5307964283
297	0.5307090662
298	0.5305997795
299	0.5305636157
300	0.5304307777
301	0.5303492971
302	0.5302986826
303	0.5302285695
304	0.5301415877
305	0.5300922598
306	0.5299616849
307	0.5298070042
308	0.5296703531
309	0.5296179583
310	0.5294936033
311	0.5294503767
312	0.5293559257
313	0.5292771992
314	0.5292012051
315	0.5291204612
316	0.5289896635
317	0.5288495847
318	0.5288039465
319	0.5287735003
320	0.5287579152
321	0.5287165757
322	0.5285691405
323	0.528424814
324	0.5283452261
325	0.5283304997
326	0.5282112697
327	0.5281462186
328	0.5281377512
329	0.5280845603
330	0.528025043
331	0.5279665899
332	0.5278726741
333	0.527815692
334	0.5277464346
335	0.5277181642
336	0.5276066715
337	0.5275485752
338	0.5274632208
339	0.5274111147
340	0.5272796202
341	0.5271883657
342	0.5271412447
343	0.5270201345
344	0.5269010087
345	0.5268222662
346	0.5267529616
347	0.5266719905
348	0.526622846
349	0.5265433197
350	0.5265164461
351	0.5263796194
352	0.5262971363
353	0.5261550205
354	0.5260705419
355	0.5260210916
356	0.5259301513
357	0.5257977637
358	0.5256530845
359	0.5255427725
360	0.5253564708
361	0.5253080592
362	0.5252474224
363	0.5251379508
364	0.5250804357
365	0.5250196283
366	0.5248801635
367	0.5248203957
368	0.5247301875
369	0.5246545436
370	0.5245955374
371	0.5245329229
372	0.5244945548
373	0.5243072533
374	0.5242498179
375	0.524112842
376	0.5239496717
377	0.5238841732
378	0.5236941925
379	0.5235423325
380	0.5234209061
381	0.5233264612
382	0.5232571921
383	0.5231486163
384	0.5230463005
385	0.52295158
386	0.5228608532
387	0.5227006196
388	0.5225303105
389	0.5225021332
390	0.5223790309
391	0.5222425499
392	0.5221644966
393	0.5220798511
394	0.5220197432
395	0.5219076035
396	0.5217685624
397	0.5216696424
398	0.5215575907
399	0.5214633847
400	0.5213284917
401	0.5213003571
402	0.5212084955
403	0.5211104861
404	0.5210436661
405	0.5209090494
406	0.5208518267
407	0.5207880984
408	0.5207830434
409	0.5206578456
410	0.5205234795
411	0.520414582
412	0.5203121474
413	0.520222561
414	0.5201655231
415	0.5199840314
416	0.5198900241
417	0.5197399422
418	0.5196064316
419	0.5194604427
420	0.5193533427
421	0.519253404
422	0.5191346562
423	0.5190591988
424	0.5190281415
425	0.5189425469
426	0.518913709
427	0.5187862031
428	0.5187438068
429	0.5186378307
430	0.5186079852
431	0.5184857847
432	0.5184539505
433	0.5183684842
434	0.5182694351
435	0.5182160686
436	0.5181376794
437	0.5181155826
438	0.5180488477
439	0.5178914203
440	0.517733041
441	0.5176935646
442	0.5175644615
443	0.5174717884
444	0.517319706
445	0.5171643475
446	0.5171025017
447	0.5170143522
448	0.5169097189
449	0.5168406606
450	0.5168050277
451	0.5167201266
452	0.5166298414
453	0.5165405706
454	0.5164885248
455	0.5164828154
456	0.5163801779
457	0.5162771465
458	0.5161634589
459	0.5160781079
460	0.5159566759
461	0.5159341505
462	0.5158707123
463	0.5157603924
464	0.5156294633
465	0.5155962505
466	0.5154553073
467	0.5153101798
468	0.5152669692
469	0.5151024861
470	0.514986963
471	0.5149384743
472	0.5148214872
473	0.5147632151
474	0.5146946711
475	0.514591103
476	0.5144848782
477	0.5144120659
478	0.5142748463
479	0.5141779778
480	0.5140918609
481	0.514035041
482	0.5138833212
483	0.5138403319
484	0.5138231728
