iter	Passed	Remaining
0	5	5311
1	10	5408
2	16	5557
3	22	5488
4	28	5575
5	30	5085
6	35	5090
7	41	5148
8	46	5113
9	51	5111
10	56	5082
11	62	5147
12	65	4992
13	71	5046
14	77	5093
15	82	5091
16	88	5128
17	94	5174
18	99	5158
19	104	5101
20	108	5055
21	113	5059
22	118	5033
23	123	5008
24	128	5016
25	134	5028
26	139	5016
27	144	5006
28	149	4997
29	154	4998
30	158	4963
31	164	4983
32	169	4967
33	174	4948
34	178	4920
35	183	4917
36	188	4904
37	193	4908
38	199	4919
39	203	4895
40	209	4899
41	214	4894
42	220	4912
43	225	4904
44	230	4881
45	235	4881
46	240	4883
47	245	4862
48	250	4858
49	255	4854
50	260	4849
51	265	4845
52	269	4821
53	274	4810
54	279	4802
55	285	4807
56	290	4804
57	295	4796
58	301	4802
59	306	4799
60	312	4810
61	318	4815
62	323	4813
63	328	4809
64	334	4809
65	340	4816
66	346	4830
67	352	4828
68	356	4815
69	362	4815
70	367	4814
71	373	4816
72	376	4775
73	383	4793
74	388	4797
75	393	4789
76	399	4788
77	404	4782
78	409	4774
79	414	4769
80	420	4770
81	425	4765
82	430	4758
83	436	4756
84	442	4758
85	447	4755
86	453	4759
87	458	4751
88	463	4749
89	469	4746
90	475	4745
91	480	4742
92	485	4739
93	490	4727
94	495	4719
95	500	4713
96	506	4710
97	510	4699
98	516	4696
99	521	4691
100	526	4690
101	531	4681
102	537	4677
103	542	4673
104	548	4674
105	553	4665
106	558	4662
107	564	4663
108	570	4663
109	576	4665
110	582	4661
111	587	4656
112	592	4650
113	597	4647
114	603	4643
115	609	4643
116	614	4639
117	620	4635
118	625	4629
119	631	4629
120	636	4624
121	641	4615
122	644	4594
123	650	4592
124	655	4587
125	661	4585
126	666	4584
127	671	4577
128	676	4567
129	681	4562
130	686	4556
131	692	4556
132	698	4553
133	703	4548
134	709	4544
135	714	4540
136	720	4537
137	725	4534
138	731	4528
139	736	4522
140	741	4519
141	747	4518
142	752	4512
143	757	4500
144	762	4495
145	767	4491
146	773	4490
147	778	4482
148	783	4477
149	788	4469
150	793	4463
151	799	4458
152	804	4456
153	811	4455
154	815	4448
155	821	4443
156	826	4435
157	831	4432
158	837	4429
159	843	4426
160	848	4421
161	854	4419
162	859	4415
163	864	4409
164	870	4405
165	875	4400
166	880	4392
167	885	4384
168	890	4380
169	896	4376
170	901	4372
171	907	4366
172	912	4362
173	917	4357
174	923	4352
175	928	4349
176	934	4345
177	940	4341
178	945	4336
179	950	4330
180	956	4329
181	961	4323
182	967	4319
183	972	4313
184	977	4304
185	982	4300
186	988	4297
187	994	4293
188	999	4287
189	1004	4281
190	1009	4277
191	1015	4272
192	1020	4265
193	1026	4262
194	1031	4258
195	1037	4254
196	1042	4249
197	1047	4243
198	1053	4240
199	1058	4234
200	1064	4231
201	1069	4226
202	1076	4225
203	1082	4225
204	1088	4223
205	1094	4218
206	1100	4215
207	1103	4201
208	1108	4197
209	1114	4192
210	1120	4188
211	1126	4187
212	1132	4185
213	1137	4179
214	1143	4176
215	1149	4171
216	1154	4164
217	1158	4156
218	1164	4152
219	1169	4148
220	1175	4141
221	1180	4135
222	1185	4131
223	1191	4128
224	1197	4124
225	1202	4119
226	1208	4116
227	1212	4104
228	1217	4100
229	1222	4092
230	1228	4088
231	1233	4084
232	1239	4081
233	1245	4075
234	1250	4071
235	1255	4064
236	1261	4060
237	1266	4054
238	1271	4049
239	1277	4044
240	1282	4039
241	1288	4034
242	1293	4029
243	1298	4023
244	1304	4019
245	1308	4011
246	1314	4006
247	1319	4000
248	1325	3997
249	1331	3994
250	1334	3983
251	1340	3978
252	1346	3974
253	1352	3971
254	1357	3964
255	1362	3960
256	1366	3951
257	1372	3948
258	1378	3943
259	1384	3939
260	1390	3937
261	1395	3931
262	1401	3927
263	1407	3922
264	1410	3911
265	1416	3907
266	1421	3902
267	1426	3897
268	1432	3892
269	1438	3889
270	1444	3884
271	1450	3880
272	1455	3875
273	1461	3871
274	1466	3866
275	1472	3862
276	1477	3857
277	1483	3852
278	1488	3846
279	1493	3841
280	1499	3836
281	1504	3831
282	1510	3827
283	1516	3822
284	1521	3816
285	1527	3812
286	1533	3809
287	1538	3803
288	1544	3800
289	1550	3794
290	1555	3790
291	1558	3778
292	1563	3772
293	1569	3767
294	1574	3761
295	1578	3754
296	1583	3747
297	1588	3741
298	1593	3736
299	1598	3730
300	1603	3724
301	1609	3719
302	1615	3716
303	1622	3713
304	1627	3709
305	1633	3705
306	1638	3699
307	1644	3695
308	1650	3691
309	1656	3686
310	1662	3682
311	1667	3677
312	1673	3672
313	1679	3668
314	1684	3663
315	1689	3657
316	1695	3652
317	1700	3647
318	1705	3641
319	1709	3632
320	1712	3622
321	1718	3617
322	1723	3612
323	1729	3607
324	1734	3602
325	1740	3599
326	1745	3593
327	1751	3588
328	1755	3581
329	1762	3577
330	1767	3572
331	1773	3567
332	1778	3562
333	1784	3557
334	1789	3552
335	1795	3547
336	1800	3542
337	1806	3538
338	1812	3535
339	1818	3529
340	1824	3525
341	1829	3520
342	1835	3515
343	1840	3509
344	1845	3504
345	1851	3500
346	1857	3495
347	1862	3489
348	1868	3485
349	1873	3480
350	1878	3474
351	1884	3468
352	1890	3464
353	1896	3460
354	1900	3453
355	1906	3448
356	1911	3442
357	1917	3437
358	1922	3432
359	1928	3428
360	1933	3423
361	1939	3417
362	1944	3412
363	1950	3407
364	1955	3401
365	1960	3395
366	1966	3391
367	1971	3386
368	1977	3382
369	1983	3377
370	1989	3373
371	1995	3369
372	2001	3363
373	2006	3358
374	2012	3353
375	2018	3349
376	2023	3343
377	2029	3340
378	2035	3335
379	2040	3330
380	2046	3325
381	2053	3321
382	2058	3316
383	2065	3312
384	2071	3308
385	2076	3303
386	2081	3297
387	2087	3292
388	2092	3286
389	2097	3280
390	2103	3276
391	2109	3272
392	2115	3266
393	2120	3262
394	2126	3256
395	2131	3251
396	2137	3246
397	2143	3242
398	2149	3238
399	2155	3232
400	2161	3228
401	2166	3223
402	2173	3219
403	2178	3214
404	2185	3210
405	2190	3205
406	2196	3200
407	2201	3194
408	2207	3189
409	2213	3184
410	2218	3179
411	2224	3174
412	2230	3169
413	2235	3164
414	2241	3159
415	2246	3154
416	2253	3150
417	2259	3145
418	2264	3140
419	2271	3136
420	2276	3131
421	2282	3126
422	2287	3120
423	2293	3115
424	2298	3110
425	2304	3104
426	2309	3099
427	2314	3093
428	2320	3088
429	2326	3083
430	2332	3078
431	2338	3074
432	2343	3068
433	2348	3062
434	2354	3057
435	2360	3052
436	2365	3048
437	2371	3042
438	2377	3037
439	2383	3033
440	2388	3028
441	2394	3022
442	2400	3017
443	2405	3012
444	2411	3006
445	2416	3001
446	2423	2997
447	2428	2992
448	2434	2987
449	2440	2982
450	2446	2977
451	2451	2971
452	2456	2966
453	2463	2962
454	2469	2957
455	2474	2952
456	2480	2947
457	2486	2942
458	2492	2937
459	2497	2932
460	2503	2927
461	2509	2922
462	2515	2917
463	2521	2912
464	2527	2908
465	2533	2903
466	2539	2897
467	2544	2893
468	2551	2888
469	2556	2883
470	2563	2878
471	2568	2873
472	2574	2868
473	2580	2863
474	2586	2858
475	2591	2852
476	2597	2848
477	2603	2843
478	2609	2838
479	2615	2833
480	2620	2827
481	2626	2823
482	2632	2817
483	2638	2812
484	2643	2807
485	2649	2802
486	2655	2797
487	2661	2792
488	2667	2787
489	2673	2782
490	2678	2776
491	2684	2771
492	2690	2766
493	2695	2761
494	2701	2756
495	2706	2750
496	2712	2745
497	2718	2740
498	2723	2734
499	2729	2729
500	2734	2723
501	2740	2718
502	2746	2713
503	2752	2708
504	2758	2703
505	2764	2698
506	2770	2693
507	2775	2688
508	2781	2683
509	2787	2678
510	2793	2672
511	2798	2667
512	2803	2661
513	2808	2655
514	2814	2650
515	2819	2644
516	2825	2639
517	2830	2633
518	2836	2628
519	2841	2623
520	2847	2618
521	2852	2612
522	2858	2607
523	2864	2602
524	2869	2596
525	2875	2591
526	2881	2586
527	2887	2580
528	2892	2575
529	2898	2570
530	2904	2565
531	2910	2560
532	2916	2555
533	2922	2550
534	2927	2544
535	2933	2539
536	2938	2533
537	2944	2528
538	2950	2523
539	2956	2518
540	2961	2512
541	2967	2507
542	2974	2503
543	2979	2497
544	2985	2492
545	2991	2487
546	2997	2482
547	3002	2476
548	3008	2471
549	3014	2466
550	3020	2460
551	3025	2455
552	3030	2449
553	3036	2444
554	3043	2440
555	3049	2434
556	3055	2430
557	3062	2425
558	3068	2421
559	3074	2415
560	3080	2410
561	3086	2405
562	3099	2405
563	3104	2399
564	3111	2395
565	3116	2390
566	3123	2385
567	3130	2380
568	3138	2377
569	3144	2372
570	3153	2369
571	3162	2366
572	3170	2362
573	3176	2357
574	3182	2352
575	3187	2346
576	3193	2340
577	3198	2335
578	3204	2330
579	3210	2324
580	3216	2319
581	3222	2314
582	3228	2308
583	3233	2303
584	3239	2297
585	3244	2292
586	3250	2286
587	3256	2281
588	3261	2276
589	3267	2270
590	3273	2265
591	3278	2259
592	3284	2254
593	3289	2248
594	3295	2243
595	3302	2238
596	3308	2233
597	3314	2227
598	3319	2222
599	3324	2216
600	3330	2210
601	3336	2205
602	3341	2199
603	3347	2194
604	3353	2189
605	3359	2184
606	3364	2178
607	3370	2173
608	3376	2167
609	3381	2162
610	3387	2156
611	3393	2151
612	3399	2146
613	3405	2141
614	3411	2135
615	3417	2130
616	3424	2125
617	3429	2120
618	3435	2114
619	3441	2109
620	3447	2104
621	3453	2098
622	3459	2093
623	3465	2088
624	3471	2082
625	3476	2077
626	3482	2071
627	3488	2066
628	3493	2060
629	3499	2055
630	3505	2049
631	3510	2044
632	3517	2039
633	3523	2034
634	3529	2028
635	3535	2023
636	3540	2017
637	3546	2012
638	3551	2006
639	3557	2001
640	3563	1995
641	3569	1990
642	3575	1985
643	3581	1980
644	3587	1974
645	3594	1969
646	3599	1963
647	3605	1958
648	3611	1952
649	3617	1947
650	3622	1942
651	3627	1936
652	3634	1931
653	3640	1926
654	3647	1920
655	3652	1915
656	3658	1910
657	3664	1904
658	3669	1898
659	3675	1893
660	3681	1887
661	3687	1882
662	3692	1877
663	3698	1871
664	3704	1866
665	3710	1860
666	3715	1855
667	3721	1849
668	3727	1844
669	3732	1838
670	3738	1833
671	3744	1827
672	3750	1822
673	3755	1816
674	3761	1811
675	3767	1805
676	3773	1800
677	3778	1794
678	3783	1788
679	3789	1783
680	3795	1778
681	3802	1772
682	3807	1767
683	3813	1761
684	3819	1756
685	3825	1750
686	3830	1745
687	3836	1739
688	3841	1734
689	3847	1728
690	3854	1723
691	3859	1717
692	3865	1712
693	3871	1706
694	3876	1701
695	3881	1695
696	3887	1689
697	3893	1684
698	3899	1679
699	3903	1672
700	3909	1667
701	3915	1661
702	3921	1656
703	3927	1651
704	3932	1645
705	3938	1640
706	3944	1634
707	3950	1629
708	3956	1623
709	3962	1618
710	3967	1612
711	3973	1607
712	3979	1601
713	3985	1596
714	3990	1590
715	3995	1584
716	4001	1579
717	4007	1574
718	4013	1568
719	4019	1563
720	4025	1557
721	4031	1552
722	4037	1546
723	4043	1541
724	4049	1535
725	4055	1530
726	4060	1524
727	4066	1519
728	4071	1513
729	4076	1507
730	4082	1502
731	4087	1496
732	4094	1491
733	4099	1485
734	4105	1480
735	4111	1474
736	4116	1469
737	4122	1463
738	4128	1458
739	4134	1452
740	4140	1447
741	4145	1441
742	4150	1435
743	4156	1430
744	4163	1424
745	4169	1419
746	4175	1414
747	4181	1408
748	4187	1403
749	4193	1397
750	4200	1392
751	4206	1387
752	4212	1381
753	4217	1376
754	4223	1370
755	4228	1364
756	4235	1359
757	4240	1353
758	4246	1348
759	4252	1342
760	4258	1337
761	4265	1332
762	4271	1326
763	4277	1321
764	4282	1315
765	4287	1309
766	4293	1304
767	4298	1298
768	4305	1293
769	4310	1287
770	4316	1282
771	4322	1276
772	4328	1271
773	4334	1265
774	4341	1260
775	4346	1254
776	4352	1249
777	4358	1243
778	4364	1238
779	4370	1232
780	4376	1227
781	4382	1221
782	4388	1216
783	4394	1210
784	4400	1205
785	4406	1199
786	4412	1194
787	4418	1188
788	4424	1183
789	4430	1177
790	4435	1172
791	4441	1166
792	4447	1161
793	4453	1155
794	4458	1149
795	4464	1144
796	4469	1138
797	4475	1132
798	4480	1127
799	4486	1121
800	4491	1115
801	4497	1110
802	4503	1104
803	4509	1099
804	4515	1093
805	4520	1088
806	4525	1082
807	4531	1076
808	4536	1071
809	4542	1065
810	4548	1060
811	4554	1054
812	4560	1048
813	4566	1043
814	4573	1038
815	4579	1032
816	4584	1026
817	4590	1021
818	4596	1015
819	4601	1010
820	4607	1004
821	4613	999
822	4619	993
823	4625	987
824	4631	982
825	4637	976
826	4642	971
827	4648	965
828	4653	959
829	4659	954
830	4664	948
831	4671	943
832	4677	937
833	4683	932
834	4689	926
835	4695	921
836	4700	915
837	4706	909
838	4712	904
839	4718	898
840	4724	893
841	4730	887
842	4736	882
843	4742	876
844	4748	871
845	4753	865
846	4758	859
847	4764	854
848	4771	848
849	4777	843
850	4783	837
851	4788	831
852	4795	826
853	4801	820
854	4806	815
855	4812	809
856	4817	803
857	4823	798
858	4829	792
859	4834	786
860	4839	781
861	4845	775
862	4851	770
863	4857	764
864	4863	759
865	4869	753
866	4875	747
867	4880	742
868	4886	736
869	4891	730
870	4896	725
871	4902	719
872	4908	714
873	4914	708
874	4920	702
875	4926	697
876	4932	691
877	4938	686
878	4943	680
879	4949	674
880	4955	669
881	4960	663
882	4966	658
883	4972	652
884	4978	646
885	4984	641
886	4990	635
887	4996	630
888	5001	624
889	5007	618
890	5013	613
891	5018	607
892	5025	602
893	5030	596
894	5036	590
895	5042	585
896	5049	579
897	5055	574
898	5062	568
899	5068	563
900	5075	557
901	5080	552
902	5087	546
903	5093	540
904	5099	535
905	5105	529
906	5110	524
907	5116	518
908	5121	512
909	5127	507
910	5133	501
911	5139	495
912	5145	490
913	5150	484
914	5156	479
915	5162	473
916	5168	467
917	5173	462
918	5178	456
919	5185	450
920	5191	445
921	5197	439
922	5202	434
923	5208	428
924	5214	422
925	5219	417
926	5225	411
927	5231	405
928	5236	400
929	5242	394
930	5248	388
931	5253	383
932	5258	377
933	5264	372
934	5270	366
935	5276	360
936	5282	355
937	5288	349
938	5294	343
939	5299	338
940	5304	332
941	5311	327
942	5316	321
943	5322	315
944	5328	310
945	5335	304
946	5340	298
947	5346	293
948	5352	287
949	5358	282
950	5364	276
951	5369	270
952	5375	265
953	5382	259
954	5388	253
955	5393	248
956	5399	242
957	5405	236
958	5411	231
959	5416	225
960	5423	220
961	5430	214
962	5436	208
963	5441	203
964	5447	197
965	5453	191
966	5459	186
967	5466	180
968	5471	175
